,,,,,71,0.028066024,0.018393148,,71 0.028066024,71 0.018393148
,,,,,72,0.028066024,0.018393148,,72 0.028066024,72 0.018393148
,,,,,73,0.028066024,0.018393148,,73 0.028066024,73 0.018393148
,,,,,74,0.028066024,0.018393148,,74 0.028066024,74 0.018393148
,,,,,75,0.042727334,0.030156949,,75 0.042727334,75 0.030156949
,,,,,76,0.042727334,0.030156949,,76 0.042727334,76 0.030156949
,,,,,77,0.042727334,0.030156949,,77 0.042727334,77 0.030156949
,,,,,78,0.042727334,0.030156949,,78 0.042727334,78 0.030156949
,,,,,79,0.042727334,0.030156949,,79 0.042727334,79 0.030156949
,,,,,80,0.065344192,0.051077077,,80 0.065344192,80 0.051077077
,,,,,81,0.065344192,0.051077077,,81 0.065344192,81 0.051077077
,,,,,82,0.065344192,0.051077077,,82 0.065344192,82 0.051077077
,,,,,83,0.065344192,0.051077077,,83 0.065344192,83 0.051077077
,,,,,84,0.065344192,0.051077077,,84 0.065344192,84 0.051077077
,,,,,85,0.129648151,0.119550726,,85 0.129648151,85 0.119550726
,,,,,86,0.129648151,0.119550726,,86 0.129648151,86 0.119550726
,,,,,87,0.129648151,0.119550726,,87 0.129648151,87 0.119550726
,,,,,88,0.129648151,0.119550726,,88 0.129648151,88 0.119550726
,,,,,89,0.129648151,0.119550726,,89 0.129648151,89 0.119550726
,,,,,90,0.129648151,0.119550726,,90 0.129648151,90 0.119550726
,,,,,91,0.129648151,0.119550726,,91 0.129648151,91 0.119550726
,,,,,92,0.129648151,0.119550726,,92 0.129648151,92 0.119550726
,,,,,93,0.129648151,0.119550726,,93 0.129648151,93 0.119550726
,,,,,94,0.129648151,0.119550726,,94 0.129648151,94 0.119550726
,,,,,95,0.129648151,0.119550726,,95 0.129648151,95 0.119550726
,,,,,96,0.129648151,0.119550726,,96 0.129648151,96 0.119550726
,,,,,97,0.129648151,0.119550726,,97 0.129648151,97 0.119550726
,,,,,98,0.129648151,0.119550726,,98 0.129648151,98 0.119550726
,,,,,99,0.129648151,0.119550726,,99 0.129648151,99 0.119550726
,,,,,100,0.129648151,0.119550726,,100 0.129648151,100 0.119550726
